"","url","id","age","comments","enjoyment","education","language","gender","os","screenW","screenH","browser","botSentence","nFails","condition","totalRT","delayBlue","delayPink","delayOrange","goal","goalClean","intention1","intention2","knowledge","goalRT","goalCleanRT","intention1RT","intention2RT","knowledgeRT","causeRT","delayRT","attention1RT","attention2RT","goalOrder","goalCleanOrder","intention1Order","intention2Order","knowledgeOrder","attention1","attentionBlue","attentionPink","attentionOrange","causeBlue","causePink","causeOrange","causeB&P","causeP&O","causeB&O","causeAll","causeOther","causeBlue_norm","causePink_norm","causeOrange_norm","causeB&P_norm","causeP&O_norm","causeB&O_norm","causeAll_norm","causeOther_norm","min","flat","max","atomic","atomic_norm","two_conjunct","two_conjunct_norm"
"52","https://pcl-study1mod.github.io/?PROLIFIC_PID=5eaa92f1aa2cf30139ad35a6&STUDY_ID=606d9200d8d0edde519cf63b&SESSION_ID=606da2c30ea216409210279f","5eaa92f1aa2cf30139ad35a6",35,NA,2,4,"Italian","Male","Windows",1920,1080,"Chrome","Richard says to Jennifer: It's a beautiful day, isn't it?",0,"condition 2",5.68088333333333,"20.0","15.0","5.0",9,6,9,9,7,4.256,5.992,5.448,4,11.749,91.226,35.069,10.935,12.742,2,5,4,3,1,2,1,1,1,1,1,1,1,1,1,9,1,0,0,0,0,0,0,1,0,1,FALSE,1,1,0,1,0
"53","https://pcl-study1mod.github.io/?PROLIFIC_PID=5d6b80b93cbfc90001b1b2f4&STUDY_ID=606d9200d8d0edde519cf63b&SESSION_ID=606da206a8a746955e8b7361","5d6b80b93cbfc90001b1b2f4",34,NA,2,1,"Italian","Female","Windows",1680,1050,"Chrome","Michael says to Susan: It's a beautiful day, isn't it?",0,"condition 2",8.96476666666666,"10.0","3.0","15.0",6,3,7,6,7,5.648,7.759,12.689,2.935,9.439,36.897,54.199,16.295,24.702,3,4,1,5,2,2,1,1,1,1,7,1,1,1,1,7,1,0,0.5,0,0,0,0,0.5,0,1,FALSE,1.5,3,0.166666666666667,1,0
"54","https://pcl-study1mod.github.io/?PROLIFIC_PID=5fb5391cad65b806f28a3ff8&STUDY_ID=606d9200d8d0edde519cf63b&SESSION_ID=606da2ee8a1dd596a720bd4b","5fb5391cad65b806f28a3ff8",24,NA,1,3,"Bangla","Female","Windows",1536,864,"Chrome","Charles says to Elizabeth: It's a beautiful day, isn't it?",2,"condition 2",4.85491666666666,"2.0","4.0","6.0",6,6,8,5,7,5.697,3.823,7.854,4.953,12.722,31.168,38.842,17.443,8.57,2,5,3,4,1,2,1,1,1,1,1,1,1,1,1,9,5,0,0,0,0,0,0,0.666666666666667,0.333333333333333,1,FALSE,1.5,1,0,1,0
"55","https://pcl-study1mod.github.io/?PROLIFIC_PID=5fa001ec46bf970156046101&STUDY_ID=606d9200d8d0edde519cf63b&SESSION_ID=606da28d5beede47095e8958","5fa001ec46bf970156046101",47,NA,1,3,"Polish","Female","Linux",360,740,"Chrome","Richard says to Patricia: It's a beautiful day, isn't it?",1,"condition 2",6.77075,"5.0","5.0","8.0",8,2,6,9,6,9.07,20.49,6.032,16.303,15.427,48.575,37.773,10.568,16.727,3,2,4,5,1,2,1,1,1,4,1,1,3,2,4,9,5,0.142857142857143,0,0,0.0952380952380952,0.0476190476190476,0.142857142857143,0.380952380952381,0.19047619047619,1,FALSE,2.625,2,0.0476190476190476,3,0.0952380952380952
"56","https://pcl-study1mod.github.io/?PROLIFIC_PID=5eb399a140be6e18063981c3&STUDY_ID=606d9200d8d0edde519cf63b&SESSION_ID=606da3416775795e2934341e","5eb399a140be6e18063981c3",26,NA,2,4,"English","Male","Windows",1920,1080,"Chrome","Joseph says to Jessica: It's a beautiful day, isn't it?",0,"condition 2",4.0765,"3.0","3.0","3.0",8,2,9,8,9,1.885,4.21,7.021,2.852,4.773,59.951,22.369,11.035,12.366,5,4,1,2,3,2,1,1,1,1,1,1,3,3,3,5,9,0,0,0,0.111111111111111,0.111111111111111,0.111111111111111,0.222222222222222,0.444444444444444,1,FALSE,2.25,1,0,3,0.111111111111111
"57","https://pcl-study1mod.github.io/?PROLIFIC_PID=5f90003b2e9d4a02514a9928&STUDY_ID=606d9200d8d0edde519cf63b&SESSION_ID=606da365e73f619e03e53c72","5f90003b2e9d4a02514a9928",28,NA,2,3,"Italian","Male","Windows",1920,1080,"Chrome","Michael says to Jessica: It's a beautiful day, isn't it?",0,"condition 1",3.48175,"6.0","2.0","0.0",1,1,1,3,1,6.597,10.26,6.379,3.693,6.357,25.784,15.295,13.599,10.661,2,1,3,4,5,2,1,1,0,1,1,1,9,9,1,1,3,0,0,0,0.444444444444444,0.444444444444444,0,0,0.111111111111111,1,FALSE,2.25,1,0,6.33333333333333,0.296296296296296
"58","https://pcl-study1mod.github.io/?PROLIFIC_PID=5f0e381166ece517a5e777f8&STUDY_ID=606d9200d8d0edde519cf63b&SESSION_ID=606da2f7bc3d2720838275ec","5f0e381166ece517a5e777f8",19,NA,2,3,"italian","Male","Windows",1366,768,"Chrome","James says to Susan: It's a beautiful day, isn't it?",0,"condition 1",5.43203333333333,"7.0","3.0","0.0",1,1,1,5,5,3.248,12.345,12.899,5.356,5.552,49.82,59.119,11.323,11.538,3,1,2,4,5,2,1,1,0,1,1,1,9,1,1,1,1,0,0,0,1,0,0,0,0,1,FALSE,1,1,0,3.66666666666667,0.333333333333333
"59","https://pcl-study1mod.github.io/?PROLIFIC_PID=5f63a2bc08a0080c790f8eb6&STUDY_ID=606d9200d8d0edde519cf63b&SESSION_ID=606da344923f5d92f8d52bec","5f63a2bc08a0080c790f8eb6",19,NA,1,3,"Greek","Male","Windows",1366,768,"Firefox","James says to Elizabeth: It's a beautiful day, isn't it?",0,"condition 1",3.71141666666666,"20.0","10.0","0.0",4,5,7,8,8,5.399,4.038,3.739,3.426,6.304,28.943,18.196,12.761,8.577,3,4,5,2,1,2,1,1,0,4,4,1,9,2,2,3,3,0.15,0.15,0,0.4,0.05,0.05,0.1,0.1,1,FALSE,2.5,3,0.1,4.33333333333333,0.166666666666667
"60","https://pcl-study1mod.github.io/?PROLIFIC_PID=5f635a1d2cba5f000b9afc85&STUDY_ID=606d9200d8d0edde519cf63b&SESSION_ID=606da34c71206d4f3bc8913d","5f635a1d2cba5f000b9afc85",19,NA,1,0,"spanish","Male","Windows",1280,720,"Chrome","Charles says to Elizabeth: It's a beautiful day, isn't it?",0,"condition 1",4.1865,"7.0","2.0","0.0",7,4,6,6,6,3.721,6.818,5.254,9.405,5.968,36.657,22.398,17.81,11.771,3,5,2,1,4,2,1,1,0,3,3,1,9,1,1,1,3,0.142857142857143,0.142857142857143,0,0.571428571428571,0,0,0,0.142857142857143,1,FALSE,1.75,2.33333333333333,0.0952380952380952,3.66666666666667,0.19047619047619
"61","https://pcl-study1mod.github.io/?PROLIFIC_PID=5f91599b9e4801036223bcc9&STUDY_ID=606d9200d8d0edde519cf63b&SESSION_ID=606da363b216ee36d3f7d808","5f91599b9e4801036223bcc9",20,NA,1,0,"Polish","Male","Windows",1920,1080,"Chrome","Michael says to Linda: It's a beautiful day, isn't it?",0,"condition 1",4.00246666666666,"10.0","2.0","0.0",7,2,7,8,7,3.658,10.777,4.157,7.294,2.982,37.676,30.319,13.196,13.315,4,1,3,2,5,2,1,1,0,2,2,1,9,1,1,1,1,0.1,0.1,0,0.8,0,0,0,0,1,FALSE,1.25,1.66666666666667,0.0666666666666667,3.66666666666667,0.266666666666667
