"","id","age","citizenship","ethnicity","year","degree","gender","condition","totalRT","causeRT","causeBlue","causePink","causeOrange","causeB&P","causeP&O","causeB&O","causeAll","causeOther","causeBlue_norm","causePink_norm","causeOrange_norm","causeB&P_norm","causeP&O_norm","causeB&O_norm","causeAll_norm","causeOther_norm","attentionRT","attentionBlue","attentionPink","attentionOrange","order","event","atomic","atomic_norm","two_conjunct","two_conjunct_norm"
"204",12,25,"ct","chinese",4,3,"Male","2V3R",8.49305,21.091,2,2,2,2,2,2,9,2,0.0666666666666667,0.0666666666666667,0.0666666666666667,0.0666666666666667,0.0666666666666667,0.0666666666666667,0.533333333333333,0.0666666666666667,4.476,1,1,1,3,"3",2,0.0666666666666667,2,0.0666666666666667
"205",13,24,"ct","chinese",5,6,"Female","23RV",13.88263333,28.369,1,7,1,9,1,1,1,1,0,0.428571428571429,0,0.571428571428571,0,0,0,0,13.006,1,1,0,3,"R",3,0.142857142857143,3.66666666666667,0.19047619047619
"206",14,22,"ct","chinese",2,3,"Male","2V3R",9.295016667,15.589,1,1,1,9,9,9,9,1,0,0,0,0.25,0.25,0.25,0.25,0,2.994,1,1,1,3,"3",1,0,9,0.25
"207",15,25,"ct","chinese",3,4,"Male","RV23",9.30505,18.48,1,8,1,9,1,1,1,1,0,0.466666666666667,0,0.533333333333333,0,0,0,0,4.389,1,1,0,3,"2",3.33333333333333,0.155555555555556,3.66666666666667,0.177777777777778
"208",16,20,"ct","chinese",1,3,"Female","RV23",7.5313,17.565,5,4,5,8,6,6,8,4,0.105263157894737,0.0789473684210526,0.105263157894737,0.184210526315789,0.131578947368421,0.131578947368421,0.184210526315789,0.0789473684210526,8.453,1,1,0,3,"2",4.66666666666667,0.0964912280701754,6.66666666666667,0.149122807017544
"209",17,21,"ct","chinese",3,3,"Female","RV23",9.482633333,24.862,7,7,5,9,6,6,9,6,0.127659574468085,0.127659574468085,0.0851063829787234,0.170212765957447,0.106382978723404,0.106382978723404,0.170212765957447,0.106382978723404,8.758,1,1,0,3,"2",6.33333333333333,0.113475177304965,7,0.127659574468085
"210",18,20,"ct","chinese",2,3,"Female","R2V3",12.80763333,20.486,1,9,1,5,5,1,1,1,0,0.5,0,0.25,0.25,0,0,0,8.184,0,1,1,3,"V",3.66666666666667,0.166666666666667,3.66666666666667,0.166666666666667
"211",19,22,"ct","chinese",1,3,"Male","2V3R",10.45451667,23.147,1,6,1,1,1,1,9,1,0,0.384615384615385,0,0,0,0,0.615384615384615,0,4.446,1,1,1,3,"3",2.66666666666667,0.128205128205128,1,0
"212",20,21,"ct","chinese",1,3,"Male","23RV",61.74101667,19.484,2,7,1,7,1,1,1,5,0.0588235294117647,0.352941176470588,0,0.352941176470588,0,0,0,0.235294117647059,5.21,1,1,0,3,"R",3.33333333333333,0.137254901960784,3,0.117647058823529
"213",21,32,"ct","chinese",6,6,"Male","V3R2",9.870183333,20.028,2,8,1,8,1,1,1,1,0.0666666666666667,0.466666666666667,0,0.466666666666667,0,0,0,0,8.772,1,1,0,3,"R",3.66666666666667,0.177777777777778,3.33333333333333,0.155555555555556
